timestamp,FR_hip_q,FR_hip_dq,FR_hip_tau,FR_thigh_q,FR_thigh_dq,FR_thigh_tau,FR_calf_q,FR_calf_dq,FR_calf_tau,FL_hip_q,FL_hip_dq,FL_hip_tau,FL_thigh_q,FL_thigh_dq,FL_thigh_tau,FL_calf_q,FL_calf_dq,FL_calf_tau,RR_hip_q,RR_hip_dq,RR_hip_tau,RR_thigh_q,RR_thigh_dq,RR_thigh_tau,RR_calf_q,RR_calf_dq,RR_calf_tau,RL_hip_q,RL_hip_dq,RL_hip_tau,RL_thigh_q,RL_thigh_dq,RL_thigh_tau,RL_calf_q,RL_calf_dq,RL_calf_tau,foot_FL,foot_FR,foot_RL,foot_RR,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1782385856.3863068,0.03142067790031433,0.05038180947303772,4.106554985046387,0.49484002590179443,2.1121604442596436,5.73928165435791,-1.4572793245315552,0.29521381855010986,8.582121849060059,-0.06024491786956787,0.29841533303260803,1.4100821018218994,1.0135242938995361,0.5697020292282104,2.226445436477661,-1.4016897678375244,1.0615565776824951,3.3190529346466064,0.031173288822174072,0.29453980922698975,-2.4985663890838623,1.1170377731323242,0.6278348565101624,1.4842969179153442,-1.4270437955856323,2.015946388244629,6.495860576629639,-0.07489407062530518,0.3022908568382263,-2.7706875801086426,0.6256334185600281,1.8563759326934814,7.347269535064697,-1.499062180519104,0.661198079586029,16.974584579467773,17,21,23,45,0.01821063,-0.015971312,-3.052705,-0.33023193,-0.1789644,0.14807174,0.712275,-1.1013328,7.9104424
1782385856.391245,0.03217761218547821,0.027128666639328003,4.0570783615112305,0.5020158290863037,1.9765172004699707,5.714543342590332,-1.4559839963912964,0.15973898768424988,8.676952362060547,-0.059306323528289795,0.1433943808078766,1.5090352296829224,1.0182476043701172,0.9301257729530334,1.6327266693115234,-1.395086646080017,1.2920658588409424,2.6078271865844727,0.03262662887573242,0.3022908568382263,-2.5480430126190186,1.120337963104248,0.6704655885696411,1.3111289739608765,-1.4149117469787598,2.1130030155181885,6.069125175476074,-0.07177549600601196,0.6123327612876892,-3.042808771133423,0.6346561312675476,1.5153297185897827,7.322531700134277,-1.4957606792449951,0.547965407371521,16.832340240478516,14,18,23,44,0.016734315,-0.017039197,-3.051931,-0.25566342,-0.10972223,0.091612734,3.5290532,0.61171854,6.683414
1782385856.3941522,0.03235927224159241,0.06975942850112915,4.007601737976074,0.5062243938446045,1.9106332063674927,5.516636848449707,-1.4557154178619385,0.1253647804260254,8.676952362060547,-0.059094369411468506,0.07363495230674744,1.4595586061477661,1.0203368663787842,0.9495033025741577,1.6327266693115234,-1.391879916191101,1.4052987098693848,2.2759218215942383,0.03338354825973511,0.3410460948944092,-2.7212109565734863,1.1219730377197266,0.8022334575653076,1.1874375343322754,-1.4105991125106812,2.1352450847625732,5.784635066986084,-0.070503830909729,0.5813285708427429,-3.042808771133423,0.6380472183227539,1.5618360042572021,7.099886894226074,-1.4957606792449951,0.547965407371521,16.832340240478516,14,18,20,44,0.016215494,-0.017325923,-3.0518053,-0.24394552,-0.10972223,0.05645901,2.7569232,0.9911995,8.494628
1782385856.3957672,0.03329788148403168,0.32554399967193604,4.749750137329102,0.5141267776489258,2.174168825149536,4.89818000793457,-1.455273151397705,0.13749684393405914,10.24164867401123,-0.058458566665649414,0.1123901903629303,1.2863906621932983,1.0241820812225342,0.7906069159507751,1.5832500457763672,-1.3864457607269287,1.2111854553222656,-3.840618371963501,0.03492772579193115,0.43793419003486633,-1.9048477411270142,1.124819040298462,0.5774530172348022,1.0637460947036743,-1.4024320840835571,1.7369086742401123,-0.9008857607841492,-0.06868720054626465,0.21702933311462402,-3.265453338623047,0.6465551853179932,2.2090485095977783,7.5946526527404785,-1.4935964345932007,0.5014591217041016,17.02199935913086,14,16,20,44,0.015520403,-0.017925778,-3.0516024,-0.11291802,-0.09374326,0.0447411,2.7569232,0.9911995,8.494628
1782385856.399714,0.03420621156692505,0.5038180947303772,4.725011825561523,0.5218173265457153,2.49196195602417,4.5023674964904785,-1.454893946647644,0.25275155901908875,10.099403381347656,-0.05833745002746582,0.06200838088989258,1.3111289739608765,1.025877594947815,0.9029970169067383,1.558511734008789,-1.3851029872894287,0.729946494102478,-4.077693462371826,0.035926878452301025,0.6394614577293396,-1.9295859336853027,1.1258182525634766,0.5813285708427429,1.0884844064712524,-1.3999677896499634,1.342616319656372,-1.2327910661697388,-0.06862664222717285,0.04263076186180115,-3.1665000915527344,0.6502792835235596,2.433828830718994,7.44622278213501,-1.4922536611557007,0.3174559473991394,17.069414138793945,14,16,19,44,0.015361764,-0.018199088,-3.0514882,-0.05432848,-0.090547465,0.06178533,0.7134721,-0.78529817,9.870096
1782385856.4020286,0.03487230837345123,0.35267266631126404,4.922918319702148,0.5255717039108276,2.263305902481079,4.527105808258057,-1.4545464515686035,0.21231131255626678,10.24164867401123,-0.05821633338928223,0.054257333278656006,1.2863906621932983,1.028663158416748,0.9650054574012756,1.2863906621932983,-1.3847239017486572,0.23253144323825836,-3.888033390045166,0.0368654727935791,0.5929551720619202,-1.9295859336853027,1.1274532079696655,0.6510879993438721,0.940054714679718,-1.3986408710479736,1.0029182434082031,-1.3276211023330688,-0.06868720054626465,0.007751047611236572,-3.1912384033203125,0.6540034413337708,2.3756959438323975,7.421484470367432,-1.4919536113739014,0.15569494664669037,17.353904724121094,16,16,19,44,0.015194803,-0.018418407,-3.051355,-0.10333064,-0.077764295,0.05645901,0.7134721,-0.78529817,9.870096
1782385856.4057975,0.03556869924068451,0.20927830040454865,5.021871089935303,0.5327475070953369,2.042401075363159,4.576581954956055,-1.4532036781311035,0.22848741710186005,10.43130874633789,-0.057883262634277344,0.10851466655731201,1.2121758460998535,1.0322661399841309,0.9921340942382812,1.1132227182388306,-1.3873777389526367,-1.0130282640457153,-3.129392623901367,0.038894057273864746,0.6355859041213989,-2.0285391807556152,1.1300873756408691,0.848739743232727,0.5689804553985596,-1.3972665071487427,-0.03033018670976162,-1.4224512577056885,-0.06859636306762695,0.06200838088989258,-3.290191411972046,0.6650547385215759,2.352442979812622,7.273055076599121,-1.491795539855957,0.036396224051713943,17.40131950378418,16,10,16,44,0.0145844985,-0.018988077,-3.0512018,-0.1310275,-0.0894822,0.033023193,1.3275849,-0.50637364,9.119514
1782385856.4082317,0.0358411967754364,0.12401676177978516,5.021871089935303,0.5361688137054443,1.9610151052474976,4.403414249420166,-1.4529035091400146,0.13345281779766083,10.573554039001465,-0.05761075019836426,0.10463915020227432,1.1874375343322754,1.034143328666687,1.0231382846832275,1.0637460947036743,-1.389526128768921,-1.2637578248977661,-3.034562587738037,0.04004460573196411,0.5968306660652161,-1.979062557220459,1.131752610206604,0.9184991717338562,0.44528907537460327,-1.3975508213043213,-0.20826728641986847,-1.2327910661697388,-0.06856608390808105,0.03875523805618286,-3.1912384033203125,0.6688394546508789,2.178044319152832,7.273055076599121,-1.4918745756149292,-0.0040440247394144535,17.448734283447266,18,10,16,44,0.0144497175,-0.019095821,-3.0511663,-0.12570119,-0.07669903,0.031957928,1.3275849,-0.50637364,9.119514
1782385856.4102733,0.03629535436630249,0.034879714250564575,5.120824337005615,0.5429509878158569,1.9493885040283203,4.205507755279541,-1.4526982307434082,-0.022242136299610138,10.763214111328125,-0.05691438913345337,0.15114542841911316,1.1626992225646973,1.038594126701355,1.1587815284729004,0.7421484589576721,-1.3956711292266846,-1.6135659217834473,-3.034562587738037,0.04170989990234375,0.37205028533935547,-1.8058946132659912,1.1357795000076294,1.1355284452438354,0.24738281965255737,-1.399256944656372,-0.5156131982803345,-1.090545892715454,-0.06805139780044556,0.18990066647529602,-3.4386212825775146,0.6726241111755371,2.1470401287078857,7.124625205993652,-1.491969347000122,-0.018198112025856972,17.211660385131836,18,9,16,57,0.013924987,-0.019804982,-3.0511796,-0.10333064,-0.11185275,-0.031957928,1.4628572,0.07182605,6.6546836
1782385856.4132597,0.03647702932357788,0.034879714250564575,5.096086025238037,0.5483101606369019,2.1664178371429443,4.205507755279541,-1.4527614116668701,-0.046506285667419434,10.763214111328125,-0.05664187669754028,0.09301257133483887,1.2863906621932983,1.0415310859680176,1.2983005046844482,0.5442422032356262,-1.3956711292266846,-1.6135659217834473,-3.034562587738037,0.04213374853134155,0.13176780939102173,-1.7069414854049683,1.13814115524292,1.0541424751281738,0.14842969179153442,-1.399256944656372,-0.5156131982803345,-1.090545892715454,-0.06735497713088989,0.2751621901988983,-3.537574291229248,0.6768326759338379,2.092782974243164,7.099886894226074,-1.49189031124115,0.008088049478828907,17.164243698120117,20,9,16,57,0.0136803165,-0.020064661,-3.0512524,-0.120374866,-0.09587379,-0.03515372,1.4628572,0.07182605,6.6546836
1782385856.4156215,0.036840349435806274,0.06975942850112915,5.021871089935303,0.5572420358657837,2.232301712036133,3.6860039234161377,-1.4528087377548218,-0.0020220123697072268,10.573554039001465,-0.05664187669754028,0.04263076186180115,1.2616523504257202,1.0445587635040283,1.5385829210281372,0.37107422947883606,-1.4038697481155396,-2.110980987548828,-5.310484409332275,0.042497098445892334,0.17827409505844116,-0.8658398389816284,1.1404119729995728,1.069644570350647,0.12369140982627869,-1.4032062292099,-1.2475817203521729,-5.83204984664917,-0.0667191743850708,0.3100419044494629,-3.4633593559265137,0.6859159469604492,2.1935465335845947,6.753551006317139,-1.4919061660766602,-0.02022012509405613,16.405603408813477,20,8,11,57,0.013100251,-0.020687113,-3.0513446,-0.1640507,-0.14274542,-0.021305285,0.50517654,0.33279404,6.075287
1782385856.4189923,0.037112846970558167,0.12014123797416687,4.997132778167725,0.561299204826355,2.2943100929260254,3.562312602996826,-1.452887773513794,-0.0626823902130127,9.67266845703125,-0.05652076005935669,0.0852615237236023,1.1626992225646973,1.0506749153137207,1.592840313911438,0.024738281965255737,-1.409303903579712,-2.8753015995025635,-4.646674156188965,0.04292100667953491,0.2557845711708069,-0.8411015868186951,1.1445902585983276,1.1239018440246582,0.5195039510726929,-1.4070764780044556,-1.8824936151504517,-5.594974994659424,-0.06608331203460693,0.37592580914497375,-3.117023468017578,0.6910934448242188,2.228426218032837,6.407215118408203,-1.4920167922973633,-0.04246226325631142,16.215944290161133,20,8,11,57,0.012759653,-0.021021642,-3.051407,-0.17576861,-0.14700648,-0.025566343,-0.005985504,-0.15562311,6.6403184
